adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
3,5,1,5,1,1,1,5,1,1,2
3,5,1,5,1,1,1,5,1,1,2
3,5,1,13,1,2,1,8,1,1,2
3,5,1,13,1,2,1,8,1,1,2
4,6,1,14,1,2,1,10,1,1,2
4,6,1,14,1,2,1,10,1,1,2
4,6,1,14,1,2,1,10,1,1,2
4,6,1,14,1,2,1,10,1,1,2
4,6,1,14,1,2,1,10,1,1,2
4,6,1,14,1,2,1,10,1,1,2
4,6,1,14,1,2,1,10,1,1,2
4,6,1,14,1,2,1,11,1,1,2
4,6,1,14,1,2,1,11,1,1,2
4,6,1,14,1,2,1,11,1,1,2
4,6,1,14,1,2,1,11,1,1,2
4,6,1,14,1,2,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,6,1,14,1,3,1,11,1,1,2
4,7,1,14,1,3,1,12,1,1,3
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
5,7,1,14,1,4,1,11,1,1,2
5,7,1,14,1,4,1,11,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
4,6,1,14,1,3,1,10,1,1,2
3,5,1,14,1,3,1,10,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,8,1,1,2
3,5,1,14,1,3,1,8,1,1,2
3,5,1,14,1,3,1,8,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,3,1,8,1,1,2
3,5,1,14,1,3,1,8,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,8,1,1,2
3,5,1,14,1,3,1,8,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,3,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,10,1,1,2
3,5,1,14,1,2,1,10,1,1,2
3,5,1,14,1,2,1,10,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,8,1,1,2
3,5,1,14,1,2,1,8,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
3,5,1,14,1,2,1,9,1,1,2
