adservice,cartservice,checkoutservice,currencyservice,emailservice,frontend,paymentservice,productcatalogservice,recommendationservice,redis-cart,shippingservice
1,1,2,2,2,2,2,1,1,2,1
1,1,4,4,1,4,1,1,2,2,1
1,1,8,8,2,8,1,1,1,2,1
1,1,12,12,1,12,2,1,2,2,1
1,2,12,12,2,12,4,1,4,2,1
2,1,12,12,1,12,1,2,8,2,2
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,8,4,1,1,1,1,2,2,1
1,1,12,8,1,2,1,1,1,2,1
1,1,12,12,2,1,2,1,2,2,1
1,1,12,12,2,1,2,1,2,2,1
1,2,12,12,4,2,4,1,4,2,1
1,1,12,12,8,4,1,1,1,2,1
1,1,12,12,1,1,2,1,1,2,1
1,2,12,1,1,2,1,1,2,2,1
1,1,12,2,1,1,1,1,1,2,1
1,1,12,4,1,2,2,1,2,2,1
1,2,12,8,1,4,1,1,4,2,1
1,1,12,12,2,1,1,1,1,2,1
1,2,12,12,1,2,2,1,2,2,1
1,1,12,1,1,1,1,1,1,2,1
1,1,12,2,2,2,1,1,2,2,1
1,1,12,4,1,4,1,1,1,2,1
1,1,12,8,2,1,1,1,2,2,1
1,1,12,12,1,2,1,1,4,2,1
1,2,12,12,2,4,2,2,8,2,1
1,1,12,12,4,1,1,1,1,2,1
1,2,12,12,8,2,2,1,2,2,1
1,1,1,12,1,1,1,1,1,2,1
1,2,2,1,1,2,2,1,2,2,1
1,1,4,2,1,4,4,1,4,2,1
1,2,8,4,1,8,1,1,8,2,1
1,1,12,8,2,12,1,1,1,2,1
1,1,12,12,1,12,2,1,2,2,1
2,1,12,12,1,12,1,1,4,2,2
2,1,12,12,1,12,1,1,4,2,2
1,2,12,12,1,12,1,1,1,2,1
1,1,12,12,2,12,2,1,2,2,2
1,2,1,1,1,1,1,1,1,2,4
1,1,1,1,1,1,1,1,1,2,1
2,1,2,2,2,2,2,1,2,2,1
1,1,4,4,4,4,1,1,1,2,1
1,2,8,8,1,8,2,1,1,2,1
1,1,12,12,2,1,4,1,1,2,1
1,1,12,12,1,2,1,1,2,2,1
1,1,12,12,2,1,1,1,1,2,1
1,1,12,1,4,2,1,1,2,2,1
1,2,12,2,8,4,2,1,4,2,1
1,1,12,4,1,8,1,1,8,2,1
1,2,12,8,2,12,2,1,1,2,1
1,4,12,12,1,12,4,1,2,2,1
1,8,12,12,2,12,1,1,4,2,1
2,1,12,12,1,12,2,1,8,2,2
1,1,1,1,1,12,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,2,2,1,2,2,1,2,2,1
1,1,4,4,2,4,1,1,1,2,1
1,2,8,8,4,8,2,1,1,2,1
1,1,12,12,8,12,1,1,2,2,1
1,2,12,12,12,12,1,1,1,2,1
1,1,12,12,12,12,1,1,2,2,2
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,8,2,1,1,2,1
1,1,2,2,2,12,4,1,1,2,1
1,1,4,4,1,12,8,1,1,2,1
1,2,8,8,2,12,1,1,2,2,1
1,1,12,12,1,12,2,1,1,2,1
1,1,12,12,2,12,4,1,1,2,1
1,2,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,2,2,2,2,2,1,1,2,2,1
1,4,4,4,1,4,1,1,1,2,1
1,1,8,8,2,8,1,1,2,2,1
1,1,12,12,1,12,2,1,4,2,1
1,1,12,12,2,12,4,1,1,2,1
1,1,12,12,2,12,4,1,1,2,1
1,2,1,1,1,12,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,2,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,2,2,2,2,2,1,1,2,1
1,1,4,4,4,4,1,1,2,2,1
1,1,8,8,1,8,2,1,1,2,1
1,1,12,12,1,12,1,1,2,2,1
1,2,12,12,2,12,2,1,4,2,1
1,1,12,12,1,12,1,1,8,2,1
1,1,12,12,1,12,1,1,8,2,1
1,2,12,12,1,12,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,2,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
1,1,2,1,2,1,1,1,1,2,1
1,1,4,2,4,2,2,1,1,2,1
1,2,8,4,1,4,1,1,2,2,1
1,4,12,8,2,8,2,1,1,2,1
1,1,1,1,1,1,1,1,1,2,1
