unknown,avg
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
748.588749999553,748.588749999553
748.588749999553,748.588749999553
895.8669642853949,895.8669642853949
939.2626984124146,939.2626984124146
870.0843172467589,870.0843172467589
970.8839805823507,970.8839805823507
930.6409090907614,930.6409090907614
910.9176258991517,910.9176258991517
1193.812995594766,1193.812995594766
1156.6636363637165,1156.6636363637165
1092.2810447761372,1092.2810447761372
1039.948086734709,1039.948086734709
1123.2319477434821,1123.2319477434821
1102.6299768518654,1102.6299768518654
1117.1498940677966,1117.1498940677966
1177.9287819253439,1177.9287819253439
1034.9200892856875,1034.9200892856875
1024.9861045130074,1024.9861045130074
1094.4781818181661,1094.4781818181661
1229.6560906515408,1229.6560906515408
1111.961012658213,1111.961012658213
1106.4289592760047,1106.4289592760047
1098.6436915887848,1098.6436915887848
1048.8333333333333,1048.8333333333333
1154.408244680851,1154.408244680851
1195.7485549132948,1195.7485549132948
1167.9093406593408,1167.9093406593408
1123.7458333333334,1123.7458333333334
1236.2575757575758,1236.2575757575758
1297.3681948424069,1297.3681948424069
2673.3136482939635,2673.3136482939635
2525.443890274314,2525.443890274314
2153.001984126984,2153.001984126984
1988.679396551745,1988.679396551745
2027.8328345070636,2027.8328345070636
1986.973813559342,1986.973813559342
1971.3781906300871,1971.3781906300871
2143.857157057666,2143.857157057666
1164.6489539749327,1164.6489539749327
1252.6639751553164,1252.6639751553164
1893.4564075630879,1893.4564075630879
1794.2828451883217,1794.2828451883217
1697.7289062500347,1697.7289062500347
1819.014695945976,1819.014695945976
1747.2430064308774,1747.2430064308774
2017.4226127321035,2017.4226127321035
1919.096819338415,1919.096819338415
1859.188475836424,1859.188475836424
2006.4239652870256,2006.4239652870256
2069.8858251057577,2069.8858251057577
2356.3686115213914,2356.3686115213914
2870.4828688524294,2870.4828688524294
2981.14982788293,2981.14982788293
3691.278176795602,3691.278176795602
5128.0056273062955,5128.0056273062955
6227.925132275153,6227.925132275153
5520.793127962104,5520.793127962104
5380.003001464146,5380.003001464146
5917.911025280909,5917.911025280909
5817.335259740266,5817.335259740266
5637.310812500007,5637.310812500007
5530.321437346444,5530.321437346444
4679.285029239752,4679.285029239752
4013.3609489050955,4013.3609489050955
4657.2147630619675,4657.2147630619675
4476.410692951014,4476.410692951014
3779.929699666309,3779.929699666309
3760.5134920634987,3760.5134920634987
3805.8410360884614,3805.8410360884614
4392.215836298918,4392.215836298918
