frontend,adservice,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,2,2,2,2,2,2,2,2
23,2,22,2,2,2,2,2,2,2
7,2,22,2,2,2,2,2,2,2
13,2,11,2,2,2,2,2,2,2
23,2,6,2,2,2,2,2,2,2
23,2,18,2,2,2,2,2,2,2
23,2,18,2,2,2,2,2,2,2
12,2,18,2,2,2,2,2,2,2
7,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
23,2,18,2,2,2,2,2,2,2
12,2,18,2,2,2,2,2,2,2
7,2,18,2,2,2,2,2,2,2
13,2,18,2,2,2,2,2,2,2
13,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
13,2,18,2,2,2,2,2,2,2
13,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
7,2,18,2,2,2,2,2,2,2
7,2,18,2,2,2,2,2,2,2
13,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
7,2,18,2,2,2,2,2,2,2
13,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
13,2,18,2,2,2,2,2,2,2
13,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
23,2,18,2,2,2,2,2,2,2
18,2,18,2,2,2,2,2,2,2
